ESIID,USAGE_DATE,REVISION_DATE,USAGE_START_TIME,USAGE_END_TIME,USAGE_KWH,ESTIMATED_ACTUAL,CONSUMPTION_SURPLUSGENERATION
bogus,11/01/2020,11/02/2020 10:46:13,00:00,00:15,.132,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,00:15,00:30,.137,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,00:30,00:45,.13,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,00:45,01:00,.122,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,01:00,01:15,.157,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,01:15,01:30,.143,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,01:30,01:45,.086,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,01:45,02:00,.137,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,02:00,01:15,.144,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,01:15,01:30,.113,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,01:30,01:45,.185,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,01:45,02:00,.13,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,02:00,02:15,.098,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,02:15,02:30,.162,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,02:30,02:45,.145,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,02:45,03:00,.115,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,03:00,03:15,.148,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,03:15,03:30,.145,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,03:30,03:45,.115,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,03:45,04:00,.144,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,04:00,04:15,.166,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,04:15,04:30,.086,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,04:30,04:45,.176,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,04:45,05:00,.234,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,05:00,05:15,.167,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,05:15,05:30,.146,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,05:30,05:45,.178,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,05:45,06:00,.173,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,06:00,06:15,.127,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,06:15,06:30,.156,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,06:30,06:45,.182,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,06:45,07:00,.149,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,07:00,07:15,.108,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,07:15,07:30,.245,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,07:30,07:45,.302,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,07:45,08:00,.173,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,08:00,08:15,.119,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,08:15,08:30,.149,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,08:30,08:45,.17,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,08:45,09:00,.122,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,09:00,09:15,.121,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,09:15,09:30,.139,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,09:30,09:45,.103,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,09:45,10:00,.112,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,10:00,10:15,.139,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,10:15,10:30,.166,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,10:30,10:45,.097,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,10:45,11:00,.089,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,11:00,11:15,.145,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,11:15,11:30,.139,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,11:30,11:45,.12,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,11:45,12:00,.133,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,12:00,12:15,.148,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,12:15,12:30,.095,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,12:30,12:45,.126,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,12:45,13:00,.162,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,13:00,13:15,.166,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,13:15,13:30,.152,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,13:30,13:45,.22,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,13:45,14:00,.338,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,14:00,14:15,.439,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,14:15,14:30,.443,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,14:30,14:45,.266,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,14:45,15:00,.317,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,15:00,15:15,.419,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,15:15,15:30,.366,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,15:30,15:45,.229,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,15:45,16:00,.18,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,16:00,16:15,.148,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,16:15,16:30,.184,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,16:30,16:45,.694,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,16:45,17:00,.572,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,17:00,17:15,.205,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,17:15,17:30,.342,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,17:30,17:45,.287,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,17:45,18:00,.474,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,18:00,18:15,.314,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,18:15,18:30,.262,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,18:30,18:45,.238,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,18:45,19:00,.214,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,19:00,19:15,.251,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,19:15,19:30,.3,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,19:30,19:45,.188,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,19:45,20:00,.209,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,20:00,20:15,.264,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,20:15,20:30,.238,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,20:30,20:45,.216,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,20:45,21:00,.254,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,21:00,21:15,.258,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,21:15,21:30,.217,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,21:30,21:45,.236,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,21:45,22:00,.263,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,22:00,22:15,.193,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,22:15,22:30,.2,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,22:30,22:45,.17,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,22:45,23:00,.121,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,23:00,23:15,.11,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,23:15,23:30,.155,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,23:30,23:45,.14,A,Consumption
bogus,11/01/2020,11/02/2020 10:46:13,23:45,00:00,.084,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,00:00,00:15,.112,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,00:15,00:30,.194,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,00:30,00:45,.166,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,00:45,01:00,.144,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,01:00,01:15,.139,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,01:15,01:30,.127,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,01:30,01:45,.113,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,01:45,02:00,.109,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,02:00,02:15,.131,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,02:15,02:30,.154,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,02:30,02:45,.138,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,02:45,03:00,.122,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,03:00,03:15,.143,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,03:15,03:30,.202,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,03:30,03:45,.134,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,03:45,04:00,.128,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,04:00,04:15,.131,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,04:15,04:30,.205,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,04:30,04:45,.163,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,04:45,05:00,.143,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,05:00,05:15,.146,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,05:15,05:30,.158,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,05:30,05:45,.158,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,05:45,06:00,.197,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,06:00,06:15,.23,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,06:15,06:30,.23,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,06:30,06:45,.223,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,06:45,07:00,.254,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,07:00,07:15,.269,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,07:15,07:30,.276,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,07:30,07:45,.235,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,07:45,08:00,.284,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,08:00,08:15,.259,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,08:15,08:30,.164,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,08:30,08:45,.174,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,08:45,09:00,.151,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,09:00,09:15,.168,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,09:15,09:30,.136,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,09:30,09:45,.192,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,09:45,10:00,.16,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,10:00,10:15,.133,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,10:15,10:30,.121,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,10:30,10:45,.155,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,10:45,11:00,.181,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,11:00,11:15,.128,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,11:15,11:30,.103,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,11:30,11:45,.143,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,11:45,12:00,.157,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,12:00,12:15,.132,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,12:15,12:30,.17,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,12:30,12:45,.179,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,12:45,13:00,.124,A,Consumption
bogus,11/02/2020,11/03/2020 09:42:51,13:00,13:15,.132,A,Consumption
